Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
874186,Hotel Santika Premiere Gubeng Surabaya,JV,Surabaya,ID,11/4/2025,11/6/2025,FALSE,1238160
874187,Astara Hotel Balikpapan,JV,Balikpapan,ID,10/30/2025,10/31/2025,TRUE,1012285.31
874188,Premier inn Munich City Ost Hotel,HB,Munich,DE,10/31/2025,11/2/2025,TRUE,8202016
874189,The Batik Hotel Ternate,KB,Ternate,ID,11/6/2025,11/7/2025,FALSE,517676.25
874191,Swiss-Belinn Cibitung,DOTW,Bekasi,ID,10/29/2025,10/30/2025,TRUE,0
874192,Grand Arjuna Hotel Bandung,JV,Bandung,ID,11/2/2025,11/5/2025,TRUE,1937731.2
874193,Aston Bojonegoro City Hotel,JV,Bojonegoro,ID,11/4/2025,11/7/2025,TRUE,3028850.92
874194,Amaris Hotel Cilegon,KB,Cilegon,ID,10/29/2025,10/30/2025,TRUE,400000
874195,Horison Ultima Entrop Jayapura,JV,Jayapura,ID,11/2/2025,11/4/2025,TRUE,1340049.22
874196,The Zuri Dumai,JV,Dumai,ID,10/29/2025,10/30/2025,TRUE,800858.14
874197,Swiss-Belinn Medan,JV,Medan,ID,11/7/2025,11/8/2025,FALSE,537395.2
874198,Loman Park Hotel Yogyakarta,KB,Yogyakarta,ID,11/3/2025,11/6/2025,TRUE,1695000
874199,Adimulia Hotel Medan,KB,Medan,ID,10/29/2025,10/31/2025,TRUE,4292000
874200,Sheraton Bandung Hotel & Towers,JV,Bandung,ID,10/29/2025,11/1/2025,TRUE,5663402.92
874201,DAFAM Rio Bandung,FR,Bandung,ID,10/29/2025,10/31/2025,TRUE,1388318
874202,HARRIS Hotel Pontianak,KB,Pontianak,ID,11/3/2025,11/7/2025,TRUE,2027040
874203,ibis Padang,JV,Padang,ID,11/2/2025,11/4/2025,TRUE,2184879.16
874204,Brits Hotel Pangkalan Bun,KB,Pangkalan Bun,ID,10/29/2025,10/30/2025,TRUE,1042701.38
874205,ibis Semarang Simpang Lima,DOTW,Semarang,ID,10/29/2025,10/30/2025,TRUE,0
874206,Merlynn Park Hotel Jakarta,JV,Jakarta,ID,10/30/2025,10/31/2025,TRUE,889729
874207,Novotel Samator Surabaya Timur,FR,Surabaya,ID,10/30/2025,10/31/2025,TRUE,966370
874208,Java Heritage Hotel Purwokerto,JV,Purwokerto,ID,11/3/2025,11/4/2025,TRUE,914382.13
874209,HARRIS Hotel Pontianak,JV,Pontianak,ID,11/4/2025,11/7/2025,FALSE,1581135.7
874210,Crowne Plaza Tianjin Binhai Center,HB,Tianjin,CN,11/10/2025,11/13/2025,FALSE,41841637
874211,Emerald Garden International Hotel,KB,Medan,ID,10/30/2025,11/1/2025,TRUE,1503317.32
874212,Holiday Inn Express Semarang Simpang Lima,KB,Semarang,ID,11/5/2025,11/7/2025,FALSE,1090000
874213,Hotel Citradream Cirebon,KB,Cirebon,ID,10/30/2025,10/31/2025,TRUE,344100.7
874214,Grand Arjuna Hotel Bandung,JV,Bandung,ID,11/2/2025,11/5/2025,TRUE,1969918.16
874215,Kristal Hotel,JV,Jakarta,ID,10/29/2025,10/31/2025,TRUE,1595548.47
874218,Moxy Bandung,KB,Bandung,ID,10/30/2025,11/1/2025,TRUE,2668021.77
874219,Maia Hotel Jakarta,DIDA,Jakarta,ID,10/29/2025,10/30/2025,TRUE,965086
874220,Grand Artos Hotel & Convention,JV,Magelang,ID,11/3/2025,11/4/2025,TRUE,2132205.99
874221,Maia Hotel Jakarta,DIDA,Jakarta,ID,10/29/2025,10/30/2025,TRUE,965086
874222,Swiss-Belinn Tunjungan Surabaya,JV,Surabaya,ID,11/3/2025,11/7/2025,FALSE,3022848
874223,BATIQA Hotel Cirebon,KB,Cirebon,ID,11/12/2025,11/14/2025,FALSE,1960128
874224,Yuriko Hotel Bukittinggi,KB,Bukittinggi,ID,10/29/2025,10/31/2025,TRUE,483383.6
874225,Maia Hotel Jakarta,JV,Jakarta,ID,10/29/2025,10/30/2025,TRUE,1026286.22
874226,Sheraton Mustika Yogyakarta Resort & Spa,JV,Yogyakarta,ID,11/5/2025,11/6/2025,FALSE,985179.6
874227,Novotel Bogor Golf Resort & Convention Center,KB,Bogor,ID,10/31/2025,11/1/2025,TRUE,1264557.04
874228,THE 1O1 Bandung Dago,JV,Bandung,ID,10/29/2025,10/31/2025,TRUE,2995076.1
874230,Aston Batam Hotel & Residence,KB,Batam,ID,11/10/2025,11/11/2025,TRUE,883647.27
874231,de JAVA Hotel Bandung,KB,Bandung,ID,10/29/2025,10/30/2025,TRUE,720683.5
874232,Front One Resort Indraloka Temanggung,DIDA,Wonosobo,ID,10/30/2025,10/31/2025,TRUE,373245
874233,HARRIS Hotel & Suites Nagoya Batam,JV,Batam,ID,10/29/2025,10/30/2025,TRUE,1199575.08
874234,Louis Kienne Hotel Pandanaran Semarang,KB,Semarang,ID,10/29/2025,10/30/2025,TRUE,645000
874235,Quest Hotel Kuta,JV,Bali,ID,11/15/2025,11/16/2025,FALSE,1023073.22
